gname,weaptype1,weapsubtype1,count
Bangsamoro Islamic Freedom Movement (BIFM),Firearms,Automatic Weapon,7
Bangsamoro Islamic Freedom Movement (BIFM),Firearms,Rifle/Shotgun (non-automatic),6
Bangsamoro Islamic Freedom Movement (BIFM),Firearms,Unknown Gun Type,34
Bangsamoro Islamic Freedom Movement (BIFM),Firearms,Handgun,1
Bangsamoro Islamic Freedom Movement (BIFM),Incendiary,Arson/Fire,1
Tarok Militia,Firearms,Unknown Gun Type,2
Balochistan Liberation United Front (BLUF),Explosives/Bombs/Dynamite,Other Explosive Type,1
Balochistan Liberation United Front (BLUF),Explosives/Bombs/Dynamite,Grenade,1
Balochistan Liberation United Front (BLUF),Explosives/Bombs/Dynamite,Vehicle,3
Balochistan Liberation United Front (BLUF),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Balochistan Liberation United Front (BLUF),Firearms,Automatic Weapon,1
Balochistan Liberation United Front (BLUF),Firearms,Unknown Gun Type,7
Balochistan Liberation United Front (BLUF),Firearms,Handgun,1
Ansaru ash-Sharia (Russia),Explosives/Bombs/Dynamite,Remote Trigger,1
Communist Party of Nepal (People's War Group),Explosives/Bombs/Dynamite,Other Explosive Type,8
Brigades of Imprisoned Sheikh Omar Abdel-Rahman,Explosives/Bombs/Dynamite,Other Explosive Type,1
Brigades of Imprisoned Sheikh Omar Abdel-Rahman,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Brigades of Imprisoned Sheikh Omar Abdel-Rahman,Explosives/Bombs/Dynamite,Remote Trigger,1
Samyukta Jatiya Mukti Morcha (SJMM),Explosives/Bombs/Dynamite,Other Explosive Type,2
Samyukta Jatiya Mukti Morcha (SJMM),Explosives/Bombs/Dynamite,Vehicle,1
Samyukta Jatiya Mukti Morcha (SJMM),Explosives/Bombs/Dynamite,Time Fuse,1
Samyukta Jatiya Mukti Morcha (SJMM),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Samyukta Jatiya Mukti Morcha (SJMM),Incendiary,Gasoline or Alcohol,1
Overall Deniers of Joining the Existing,Explosives/Bombs/Dynamite,Other Explosive Type,3
Mujahidin Indonesia Timur (MIT),Explosives/Bombs/Dynamite,Other Explosive Type,1
Mujahidin Indonesia Timur (MIT),Explosives/Bombs/Dynamite,Vehicle,1
Mujahidin Indonesia Timur (MIT),Melee,Knife or Other Sharp Object,2
Mujahidin Indonesia Timur (MIT),Firearms,Unknown Gun Type,5
"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Misseriya Arab Tribesmen,Firearms,Unknown Gun Type,1
Maoist Communist Party of Manipur,Explosives/Bombs/Dynamite,Other Explosive Type,1
Sudan Revolutionary Front (SRF),Firearms,Unknown Gun Type,2
Black Hawks (Anti-Wahhabists),Incendiary,Gasoline or Alcohol,1
Jund al-Khilafa,Firearms,Unknown Gun Type,1
Insurgents,Explosives/Bombs/Dynamite,Other Explosive Type,2
Insurgents,Explosives/Bombs/Dynamite,Grenade,1
Insurgents,Firearms,Unknown Gun Type,2
Africa Marine Commando,Firearms,Unknown Gun Type,1
Loyalists,Explosives/Bombs/Dynamite,Other Explosive Type,1
Loyalists,Incendiary,Gasoline or Alcohol,4
Civilian Joint Task Force (JTF),Incendiary,Arson/Fire,1
Mawlawi and Mansour Group,Firearms,Unknown Gun Type,1
Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal,Explosives/Bombs/Dynamite,Other Explosive Type,1
Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Hassan Mabkhut Group,Explosives/Bombs/Dynamite,Unknown Explosive Type,2
Proletarian Solidarity,Incendiary,Arson/Fire,1
Baloch National Liberation Front,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Tehrik-e-Nifaz-e-Aman Balochistan-Jhalawan Brigade (TNAB-Jhalawan Brigade),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Tabu Tribe,Firearms,Unknown Gun Type,1
Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite,Grenade,13
Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite,Land Mine,1
Hizbul Mujahideen (HM),Explosives/Bombs/Dynamite,Vehicle,1
Hizbul Mujahideen (HM),Firearms,Automatic Weapon,7
Hizbul Mujahideen (HM),Firearms,Unknown Gun Type,10
Hizbul Mujahideen (HM),Firearms,Handgun,8
Khumbuwan Mukti Morcha,Explosives/Bombs/Dynamite,Other Explosive Type,1
Anti-Balaka Militia,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Anti-Balaka Militia,Explosives/Bombs/Dynamite,Grenade,6
Anti-Balaka Militia,Melee,Knife or Other Sharp Object,3
Anti-Balaka Militia,Firearms,Automatic Weapon,1
Anti-Balaka Militia,Firearms,Unknown Gun Type,17
Anti-Balaka Militia,Incendiary,Arson/Fire,1
Libya Shield Force,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2
Libya Shield Force,Firearms,Unknown Gun Type,2
Libya Shield Force,Incendiary,Arson/Fire,4
Al-Shuda Brigade,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),1
Al-Shuda Brigade,Firearms,Automatic Weapon,1
Al-Shuda Brigade,Firearms,Unknown Gun Type,2
Al-Jihad (Pakistan),Incendiary,Arson/Fire,1
Baloch Liberation Army (BLA),Explosives/Bombs/Dynamite,Other Explosive Type,2
Baloch Liberation Army (BLA),Explosives/Bombs/Dynamite,Unknown Explosive Type,2
Baloch Liberation Army (BLA),Explosives/Bombs/Dynamite,Remote Trigger,5
Baloch Liberation Army (BLA),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",15
Baloch Liberation Army (BLA),Explosives/Bombs/Dynamite,Grenade,12
Baloch Liberation Army (BLA),Explosives/Bombs/Dynamite,Vehicle,1
Baloch Liberation Army (BLA),Firearms,Automatic Weapon,1
Baloch Liberation Army (BLA),Firearms,Unknown Gun Type,20
German Resistance Movement,Incendiary,Gasoline or Alcohol,2
Donskoy Army,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2
Donskoy Army,Explosives/Bombs/Dynamite,Grenade,1
Tuaregs,Firearms,Unknown Gun Type,1
Zimbabwe African Nationalist Union (ZANU),Incendiary,Arson/Fire,1
Zimbabwe African Nationalist Union (ZANU),Incendiary,Gasoline or Alcohol,1
Parbatya Chattagram Jana Sanghati Samity (PCJSS) - Bangladesh,Firearms,Unknown Gun Type,1
Shining Path (SL),Explosives/Bombs/Dynamite,Other Explosive Type,1
Shining Path (SL),Explosives/Bombs/Dynamite,Unknown Explosive Type,2
Shining Path (SL),Melee,Knife or Other Sharp Object,1
Shining Path (SL),Firearms,Automatic Weapon,4
Shining Path (SL),Firearms,Rifle/Shotgun (non-automatic),2
Shining Path (SL),Firearms,Unknown Gun Type,8
Shining Path (SL),Incendiary,Arson/Fire,1
Ukrainian Nationalist Group,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Ukrainian Nationalist Group,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Knights of Janzour,Firearms,Unknown Gun Type,1
Supporters of Ali Abdullah Saleh,Firearms,Other Gun Type,1
Bangladesh Nationalist Party (BNP),Explosives/Bombs/Dynamite,Other Explosive Type,19
Bangladesh Nationalist Party (BNP),Incendiary,Arson/Fire,7
Bangladesh Nationalist Party (BNP),Incendiary,Gasoline or Alcohol,3
Abu Tira (Central Reserve Forces),Firearms,Unknown Gun Type,1
United Front for Democracy Against Dictatorship,Firearms,Automatic Weapon,1
Activists,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Activists,Explosives/Bombs/Dynamite,Unknown Explosive Type,2
Activists,Incendiary,Arson/Fire,7
Activists,Incendiary,Gasoline or Alcohol,3
Irish Republican Army (IRA),Explosives/Bombs/Dynamite,Other Explosive Type,1
Individuals Tending Toward Savagery,Explosives/Bombs/Dynamite,Letter Bomb,1
Individuals Tending Toward Savagery,Incendiary,Gasoline or Alcohol,1
Borderless Solidarity Cell (BSC),Incendiary,Arson/Fire,1
Mabanese Defence Forces,Firearms,Unknown Gun Type,1
Conspiracy of Cells of Fire,Explosives/Bombs/Dynamite,Other Explosive Type,3
Conspiracy of Cells of Fire,Explosives/Bombs/Dynamite,Letter Bomb,3
Conspiracy of Cells of Fire,Explosives/Bombs/Dynamite,Dynamite/TNT,1
Conspiracy of Cells of Fire,Incendiary,Arson/Fire,1
The New Irish Republican Army,Explosives/Bombs/Dynamite,Other Explosive Type,6
The New Irish Republican Army,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
The New Irish Republican Army,Explosives/Bombs/Dynamite,Vehicle,1
The New Irish Republican Army,Explosives/Bombs/Dynamite,Unknown Explosive Type,2
The New Irish Republican Army,Explosives/Bombs/Dynamite,Letter Bomb,7
The New Irish Republican Army,Firearms,Automatic Weapon,1
The New Irish Republican Army,Firearms,Unknown Gun Type,3
Azawad National Liberation Movement (MNLA),Melee,"Hands, Feet, Fists",1
Azawad National Liberation Movement (MNLA),Firearms,Automatic Weapon,1
Azawad National Liberation Movement (MNLA),Firearms,Unknown Gun Type,9
Azawad National Liberation Movement (MNLA),Incendiary,Arson/Fire,2
Sindhu Desh Liberation Army (SDLA),Explosives/Bombs/Dynamite,Other Explosive Type,9
Sindhu Desh Liberation Army (SDLA),Explosives/Bombs/Dynamite,Vehicle,1
Sindhu Desh Liberation Army (SDLA),Explosives/Bombs/Dynamite,Time Fuse,1
Sindhu Desh Liberation Army (SDLA),Explosives/Bombs/Dynamite,Remote Trigger,2
Sindhu Desh Liberation Army (SDLA),Explosives/Bombs/Dynamite,Unknown Explosive Type,33
Sindhu Desh Liberation Army (SDLA),Firearms,Unknown Gun Type,2
Arauco Malleco Coordinating Group (CAM) - Chile,Incendiary,Arson/Fire,1
Lord's Resistance Army (LRA),Firearms,Unknown Gun Type,15
Organization for Revolutionary Self Defense,Firearms,Automatic Weapon,1
Tamil Nadu Liberation Army,Explosives/Bombs/Dynamite,Other Explosive Type,3
Misrata Brigades,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Misrata Brigades,Firearms,Unknown Gun Type,2
Misrata Brigades,Incendiary,Arson/Fire,1
Pattali Makkal Katchi (PMK),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Pattali Makkal Katchi (PMK),Incendiary,Arson/Fire,2
Pattali Makkal Katchi (PMK),Incendiary,Gasoline or Alcohol,1
United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite,Other Explosive Type,3
United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite,Remote Trigger,4
United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite,Unknown Explosive Type,25
United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite,Grenade,21
United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite,Vehicle,2
United Liberation Front of Assam (ULFA),Explosives/Bombs/Dynamite,Sticky Bomb,2
United Liberation Front of Assam (ULFA),Melee,"Hands, Feet, Fists",1
United Liberation Front of Assam (ULFA),Melee,Knife or Other Sharp Object,1
United Liberation Front of Assam (ULFA),Firearms,Automatic Weapon,1
United Liberation Front of Assam (ULFA),Firearms,Unknown Gun Type,4
United Liberation Front of Assam (ULFA),Firearms,Handgun,1
Right Sector,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Right Sector,Firearms,Automatic Weapon,1
Right Sector,Firearms,Unknown Gun Type,1
Right Sector,Incendiary,Arson/Fire,1
Al Furqan Brigades,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2
Al-Zintan Revolutionaries' Military Council,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Rohingya Solidarity Organization,Firearms,Unknown Gun Type,2
Hekla Reception Committee-Initiative for More Social Eruptions,Explosives/Bombs/Dynamite,Other Explosive Type,5
Zehri Youth Force (ZYF),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Comite d'Action Viticole,Explosives/Bombs/Dynamite,Other Explosive Type,1
Comite d'Action Viticole,Incendiary,Arson/Fire,2
Dima Hasao National Army,Firearms,Unknown Gun Type,1
Four Martyrs Brigade,Firearms,Unknown Gun Type,1
Izberbash Gang,Explosives/Bombs/Dynamite,Vehicle,1
Individual,Melee,Knife or Other Sharp Object,9
Individual,Firearms,Automatic Weapon,13
Individual,Firearms,Rifle/Shotgun (non-automatic),6
Individual,Firearms,Other Gun Type,1
Individual,Firearms,Unknown Gun Type,24
Individual,Firearms,Handgun,11
Individual,Explosives/Bombs/Dynamite,Other Explosive Type,15
Individual,Explosives/Bombs/Dynamite,Unknown Explosive Type,6
Individual,Explosives/Bombs/Dynamite,Remote Trigger,2
Individual,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Individual,Explosives/Bombs/Dynamite,Vehicle,5
Individual,Explosives/Bombs/Dynamite,Letter Bomb,2
Individual,Explosives/Bombs/Dynamite,Grenade,3
Individual,Explosives/Bombs/Dynamite,Land Mine,1
Individual,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),10
Individual,Explosives/Bombs/Dynamite,Dynamite/TNT,1
Individual,Incendiary,Arson/Fire,3
Individual,Incendiary,Gasoline or Alcohol,10
Real Ulster Freedom Fighters (UFF) - Northern Ireland,Explosives/Bombs/Dynamite,Other Explosive Type,1
Pahadi Cheetah,Firearms,Unknown Gun Type,1
Republican Action Against Drugs (RAAD),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Jamiat ul-Mujahedin (JuM),Firearms,Automatic Weapon,2
Jamiat ul-Mujahedin (JuM),Firearms,Unknown Gun Type,1
Jamiat ul-Mujahedin (JuM),Firearms,Handgun,1
Communist Party of India- Marxist-Leninist,Firearms,Unknown Gun Type,1
Jundallah,Explosives/Bombs/Dynamite,Other Explosive Type,2
Jundallah,Explosives/Bombs/Dynamite,Remote Trigger,1
Jundallah,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Jundallah,Explosives/Bombs/Dynamite,Grenade,1
Jundallah,Explosives/Bombs/Dynamite,Vehicle,2
Jundallah,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),2
Jundallah,Firearms,Automatic Weapon,1
Jundallah,Firearms,Unknown Gun Type,2
Jundallah,Firearms,Handgun,1
Aisha Umm-al Mouemeneen (Brigades of Aisha),Explosives/Bombs/Dynamite,Vehicle,1
Movement for Oneness and Jihad in West Africa (MUJAO),Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),4
Movement for Oneness and Jihad in West Africa (MUJAO),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",9
Movement for Oneness and Jihad in West Africa (MUJAO),Explosives/Bombs/Dynamite,Vehicle,9
Movement for Oneness and Jihad in West Africa (MUJAO),Explosives/Bombs/Dynamite,Land Mine,5
Movement for Oneness and Jihad in West Africa (MUJAO),Explosives/Bombs/Dynamite,Unknown Explosive Type,3
Movement for Oneness and Jihad in West Africa (MUJAO),Firearms,Automatic Weapon,2
Movement for Oneness and Jihad in West Africa (MUJAO),Firearms,Unknown Gun Type,7
Maoists,Melee,Blunt Object,3
Maoists,Melee,Knife or Other Sharp Object,27
Maoists,Melee,Unknown Weapon Type,4
Maoists,Melee,Rope or Other Strangling Device,1
Maoists,Firearms,Automatic Weapon,14
Maoists,Firearms,Other Gun Type,2
Maoists,Firearms,Rifle/Shotgun (non-automatic),5
Maoists,Firearms,Unknown Gun Type,203
Maoists,Firearms,Handgun,7
Maoists,Explosives/Bombs/Dynamite,Other Explosive Type,53
Maoists,Explosives/Bombs/Dynamite,Remote Trigger,15
Maoists,Explosives/Bombs/Dynamite,Unknown Explosive Type,95
Maoists,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2
Maoists,Explosives/Bombs/Dynamite,Pressure Trigger,8
Maoists,Explosives/Bombs/Dynamite,Grenade,5
Maoists,Explosives/Bombs/Dynamite,Land Mine,65
Maoists,Explosives/Bombs/Dynamite,Vehicle,1
Maoists,Explosives/Bombs/Dynamite,Dynamite/TNT,4
Maoists,Incendiary,Arson/Fire,60
Maoists,Incendiary,Gasoline or Alcohol,8
Revolutionary Insurgent Armed Forces of Ecuador (FAIRE),Explosives/Bombs/Dynamite,Other Explosive Type,1
Muslim Separatists,Firearms,Unknown Gun Type,1
Muslim Brotherhood,Explosives/Bombs/Dynamite,Other Explosive Type,6
Muslim Brotherhood,Explosives/Bombs/Dynamite,Vehicle,2
Muslim Brotherhood,Explosives/Bombs/Dynamite,Unknown Explosive Type,9
Muslim Brotherhood,Firearms,Rifle/Shotgun (non-automatic),1
Muslim Brotherhood,Firearms,Unknown Gun Type,8
Muslim Brotherhood,Incendiary,Gasoline or Alcohol,1
People Against Gangsterism and Drugs (PAGAD),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Free Syrian Army,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",23
Free Syrian Army,Explosives/Bombs/Dynamite,Remote Trigger,1
Free Syrian Army,Explosives/Bombs/Dynamite,Vehicle,7
Free Syrian Army,Explosives/Bombs/Dynamite,Unknown Explosive Type,3
Free Syrian Army,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),1
Free Syrian Army,Firearms,Unknown Gun Type,8
Free Balochistan Army (FBA),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Takfir wal-Hijra (Excommunication and Exodus),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2
Takfir wal-Hijra (Excommunication and Exodus),Firearms,Rifle/Shotgun (non-automatic),1
United Revolutionary Front,Explosives/Bombs/Dynamite,Remote Trigger,3
United Revolutionary Front,Explosives/Bombs/Dynamite,Unknown Explosive Type,2
People's Liberation Army (India),Explosives/Bombs/Dynamite,Time Fuse,2
People's Liberation Army (India),Explosives/Bombs/Dynamite,Unknown Explosive Type,18
People's Liberation Army (India),Explosives/Bombs/Dynamite,Remote Trigger,13
People's Liberation Army (India),Explosives/Bombs/Dynamite,Grenade,3
People's Liberation Army (India),Explosives/Bombs/Dynamite,Vehicle,1
People's Liberation Army (India),Explosives/Bombs/Dynamite,Land Mine,1
People's Liberation Army (India),Firearms,Unknown Gun Type,6
Angry Brigade,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Proletarian Assault Group,Incendiary,Arson/Fire,1
Al-Sawaiq Brigade,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Arab Socialist Baath Party of Iraq,Explosives/Bombs/Dynamite,Vehicle,1
Youth of the Land of Egypt,Firearms,Unknown Gun Type,1
Basque Fatherland and Freedom (ETA),Firearms,Unknown Gun Type,1
Epanastatiki Anatropi (Revolutionary Overthrow),Explosives/Bombs/Dynamite,Other Explosive Type,1
Tanzeem al-Islami al-Furqan,Firearms,Unknown Gun Type,1
Tanzeem al-Islami al-Furqan,Incendiary,Arson/Fire,1
Congolese Patriotic Resistence-Patriotic Armed Forces (Pareco/FAP),Firearms,Unknown Gun Type,1
Biswabhumi Sena Bishal Nepal,Explosives/Bombs/Dynamite,Other Explosive Type,1
Pakistani People's Party (PPP),Explosives/Bombs/Dynamite,Grenade,1
Miscreants,Explosives/Bombs/Dynamite,Grenade,1
Achik National Volunteer Council-B (ANVC-B),Explosives/Bombs/Dynamite,Grenade,1
Achik National Volunteer Council-B (ANVC-B),Firearms,Automatic Weapon,1
Achik National Volunteer Council-B (ANVC-B),Firearms,Unknown Gun Type,4
Achik National Volunteer Council-B (ANVC-B),Firearms,Handgun,1
Anarchists,Explosives/Bombs/Dynamite,Other Explosive Type,10
Anarchists,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Anarchists,Explosives/Bombs/Dynamite,Letter Bomb,1
Anarchists,Melee,"Hands, Feet, Fists",1
Anarchists,Incendiary,Arson/Fire,6
Anarchists,Incendiary,Gasoline or Alcohol,17
Comando Aut¢nomo Voltaire Argando¤a,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Madhesi People?s Rights Forum (MPRF),Melee,Blunt Object,1
Qari Kamran Group,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),1
Bedouin Movement (Sudan),Firearms,Unknown Gun Type,2
Popular Front for the Liberation of Palestine (PFLP),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",5
Popular Front for the Liberation of Palestine (PFLP),Explosives/Bombs/Dynamite,Remote Trigger,1
Popular Front for the Liberation of Palestine (PFLP),Firearms,Unknown Gun Type,1
Lashkar-e-Balochistan,Explosives/Bombs/Dynamite,Remote Trigger,3
Lashkar-e-Balochistan,Explosives/Bombs/Dynamite,Grenade,2
Lashkar-e-Balochistan,Explosives/Bombs/Dynamite,Land Mine,2
Lashkar-e-Balochistan,Explosives/Bombs/Dynamite,Unknown Explosive Type,2
Lashkar-e-Balochistan,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2
Lashkar-e-Balochistan,Firearms,Unknown Gun Type,1
Mujahedeen Army,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Tehreek-e-Nafaz-e-Shariat-e-Mohammadi (TNSM),Explosives/Bombs/Dynamite,Remote Trigger,1
Tehreek-e-Nafaz-e-Shariat-e-Mohammadi (TNSM),Firearms,Unknown Gun Type,1
Libyan Militia,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1
Libyan Militia,Firearms,Unknown Gun Type,1
Al-Faruq Militia,Firearms,Unknown Gun Type,1
Al Ummah,Explosives/Bombs/Dynamite,Vehicle,1
Al Ummah,Melee,Unknown Weapon Type,2
Protestant Extremists,Melee,Knife or Other Sharp Object,1
Unification Army Sons Brigade,Explosives/Bombs/Dynamite,Vehicle,1
Al-Toaiman Tribesmen,Explosives/Bombs/Dynamite,Unknown Explosive Type,1
People's Committee against Police Atrocities (PCPA),Incendiary,Arson/Fire,1
Sudanese People's Front,Firearms,Unknown Gun Type,1
Knights Templar (Caballeros Templarios),Incendiary,Arson/Fire,1
Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R),Explosives/Bombs/Dynamite,Other Explosive Type,1
Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R),Firearms,Unknown Gun Type,1
Buddhist Monks,Melee,Rope or Other Strangling Device,1
Buddhist Monks,Incendiary,Arson/Fire,1
Buddhist Monks,Incendiary,Gasoline or Alcohol,1
Communist Party of Nepal-Maoist (Baidya),Explosives/Bombs/Dynamite,Other Explosive Type,5
Communist Party of Nepal-Maoist (Baidya),Explosives/Bombs/Dynamite,Grenade,1
Communist Party of Nepal-Maoist (Baidya),Explosives/Bombs/Dynamite,Unknown Explosive Type,6
Communist Party of Nepal-Maoist (Baidya),Firearms,Automatic Weapon,1
Communist Party of Nepal-Maoist (Baidya),Incendiary,Arson/Fire,7
Communist Party of Nepal-Maoist (Baidya),Incendiary,Gasoline or Alcohol,7
Al-Qaqa Brigade,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2
Al-Qaqa Brigade,Firearms,Unknown Gun Type,2
Shabelle Valley militia,Firearms,Unknown Gun Type,2
People's Liberation Front of India,Explosives/Bombs/Dynamite,Time Fuse,1
People's Liberation Front of India,Explosives/Bombs/Dynamite,Land Mine,1
People's Liberation Front of India,Melee,"Hands, Feet, Fists",1
People's Liberation Front of India,Melee,Knife or Other Sharp Object,5
People's Liberation Front of India,Melee,Blunt Object,1
People's Liberation Front of India,Firearms,Unknown Gun Type,14
People's Liberation Front of India,Firearms,Handgun,1
People's Liberation Front of India,Incendiary,Arson/Fire,5
People's Liberation Front of India,Incendiary,Gasoline or Alcohol,2
United Bengali Liberation Front (UBLF),Explosives/Bombs/Dynamite,Unknown Explosive Type,1
Sinai Province of the Islamic State,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2
Sinai Province of the Islamic State,Explosives/Bombs/Dynamite,Vehicle,1
Sinai Province of the Islamic State,Explosives/Bombs/Dynamite,Unknown Explosive Type,6
Sinai Province of the Islamic State,Firearms,Unknown Gun Type,8
Chechen Rebels,Explosives/Bombs/Dynamite,Land Mine,1
