rf,extra,xgboost,neuralNetwork,labels
6,6,6,6,0
6,6,2,2,2
4,4,4,4,4
5,5,5,5,5
4,4,4,31,4
2,5,2,2,2
6,6,6,6,11
6,6,6,6,6
6,6,6,6,23
1,1,1,1,1
4,4,4,17,9
4,4,4,4,22
5,6,5,5,5
12,12,12,12,12
6,6,3,10,3
6,6,6,6,6
6,6,6,6,6
6,7,7,7,7
6,6,6,6,6
6,6,6,6,6
6,7,7,7,7
6,6,7,7,24
12,12,9,17,9
1,1,1,1,1
4,4,9,1,9
6,6,6,6,6
6,6,7,7,7
6,6,6,6,6
6,6,2,2,25
6,6,2,2,2
6,6,6,6,6
6,6,6,6,6
52,51,35,35,0
51,51,51,53,0
4,4,4,4,4
0,0,51,0,0
53,53,53,9,0
6,6,6,17,0
6,6,19,19,19
6,6,2,2,2
5,6,5,6,5
5,5,5,5,5
5,5,5,5,5
12,4,100,17,0
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,7,7,7,7
6,7,7,7,7
6,6,0,2,0
14,6,14,2,14
53,53,53,53,0
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
5,5,5,5,5
6,6,26,28,26
6,6,14,2,14
6,6,2,2,2
2,2,2,2,2
6,6,14,2,14
6,6,2,2,27
6,6,14,2,27
6,6,6,6,6
6,6,6,6,6
6,6,14,2,14
6,6,14,2,14
6,6,7,7,7
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
5,5,5,5,5
1,1,1,1,1
1,1,1,1,1
6,6,2,6,2
6,6,2,2,27
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
12,12,12,12,12
6,6,28,28,28
65,65,65,65,0
1,1,1,1,1
1,1,1,1,1
6,6,6,6,6
6,6,6,6,6
6,6,7,7,7
6,6,2,2,2
6,6,14,2,27
6,6,6,6,6
6,6,6,6,6
19,1,19,19,19
6,1,19,19,19
4,1,4,4,4
6,1,19,29,19
5,5,5,2,29
6,6,2,6,2
6,6,6,4,6
4,1,4,4,4
4,4,4,1,4
4,4,4,53,22
0,0,51,5,30
5,5,5,2,5
6,6,2,2,25
6,6,0,6,0
6,6,6,6,6
6,6,6,17,6
6,6,6,1,16
1,1,1,53,1
53,53,53,6,0
6,6,6,2,6
6,6,14,12,14
4,4,90,4,22
4,1,4,6,4
6,6,6,7,6
6,7,7,2,7
6,6,3,2,3
6,6,3,10,3
6,6,3,31,3
1,4,31,29,31
6,5,2,12,5
12,12,12,6,12
6,6,6,7,0
6,6,7,7,7
6,6,7,6,7
6,6,6,53,6
0,0,51,1,0
1,1,1,31,1
4,4,106,6,22
6,6,6,6,6
6,6,6,2,6
6,6,2,2,2
6,6,2,53,2
53,53,53,6,0
6,6,6,6,6
6,6,6,6,6
6,6,6,7,6
6,6,7,7,7
6,6,7,7,7
6,6,7,6,7
6,6,6,2,6
6,6,2,1,2
1,1,1,4,1
4,1,4,8,4
8,8,8,6,8
6,6,6,6,6
6,6,6,6,32
6,6,6,6,0
6,6,6,2,6
6,6,10,6,3
6,6,6,7,6
6,6,7,6,7
5,6,5,5,5
5,6,5,12,5
12,12,12,12,12
12,12,12,28,12
4,4,106,5,22
5,5,5,7,5
6,6,7,2,7
2,6,2,2,2
2,6,2,19,2
6,6,19,2,0
6,6,2,29,14
5,5,5,6,5
6,6,6,2,18
6,6,10,12,10
12,12,12,2,12
6,6,2,2,33
6,6,14,2,14
6,6,14,6,14
6,6,6,6,6
6,6,6,17,6
4,4,1,1,22
1,1,1,7,1
6,6,7,29,24
5,5,5,7,5
6,6,7,6,7
6,6,6,6,32
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,5,6
5,5,5,6,5
6,6,6,6,6
6,6,6,6,34
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,29,6,0
5,6,5,29,5
5,5,5,6,5
6,6,29,6,0
6,6,29,6,0
6,6,29,6,0
5,6,5,7,5
6,6,7,6,7
6,6,6,6,11
6,6,6,6,6
6,6,6,6,6
6,6,6,6,6
6,6,6,5,6
5,5,5,6,5
6,6,6,31,6
4,1,4,4,4
4,4,4,31,4
4,1,4,6,4
6,6,6,2,6
6,6,14,6,2
6,6,6,6,6
6,6,6,6,6
6,6,6,6,35
6,6,6,6,6
6,6,6,1,6
1,1,1,31,1
4,1,4,2,4
6,6,2,29,14
5,5,2,7,2
6,7,7,7,7
6,6,7,7,24
6,7,7,2,7
6,6,2,17,2
13,13,45,2,13
6,6,2,6,2
6,6,6,17,6
6,6,6,7,6
13,13,13,7,13
6,6,7,2,7
6,7,7,2,7
6,6,6,3,6
6,6,2,2,2
6,6,2,8,2
6,6,3,2,3
6,6,6,2,6
6,6,6,7,6
6,6,0,2,0
51,51,51,1,0
6,6,3,17,3
6,6,6,2,6
6,6,2,2,2
6,6,6,12,6
6,7,7,5,7
6,6,0,5,0
1,1,1,40,1
4,4,4,62,4
6,6,0,7,0
6,6,0,6,0
12,12,12,17,12
5,5,5,1,5
5,5,5,1,5
40,40,40,1,0
12,12,12,7,12
6,6,7,17,7
6,6,6,6,36
4,4,4,17,4
6,6,6,12,6
1,1,1,2,1
1,1,1,7,1
1,1,1,6,1
6,6,7,10,7
6,1,17,7,17
6,6,37,7,37
6,6,6,6,6
6,6,0,17,38
0,0,0,65,38
6,6,2,2,39
6,7,7,5,7
6,6,6,7,11
6,6,10,7,10
6,6,7,2,7
6,7,7,6,7
6,6,6,2,21
6,6,6,2,6
6,6,6,2,6
12,4,12,5,0
65,65,65,7,40
2,2,2,7,2
5,6,5,6,5
6,6,7,6,24
6,6,7,4,7
6,6,10,7,41
6,6,6,10,34
6,6,6,7,6
6,5,6,5,18
6,6,6,17,6
6,6,2,17,2
6,6,2,2,2
6,6,2,2,2
5,5,5,2,5
6,7,7,2,7
6,6,7,2,7
6,6,6,7,0
6,6,6,5,35
4,1,4,9,4
6,6,6,6,6
6,7,7,5,7
6,6,10,7,3
6,6,7,2,7
5,5,5,4,5
6,6,6,4,6
6,6,6,4,6
6,6,17,7,17
6,12,6,10,0
6,6,6,5,6
6,6,6,17,6
6,6,0,0,0
6,6,0,6,0
6,6,10,17,10
6,6,10,6,10
6,6,10,34,10
6,7,7,0,7
5,6,5,6,5
6,6,6,6,6
0,0,53,2,0
6,6,6,6,11
5,6,5,2,5
6,7,7,29,7
6,6,6,7,6
6,6,6,6,6
6,6,2,7,33
4,4,4,6,4
4,4,4,2,4
4,1,4,1,4
6,6,6,12,6
6,6,7,2,24
6,6,10,17,3
5,5,5,4,5
45,0,12,2,0
0,0,56,2,0
2,6,6,7,6
6,6,6,1,35
6,6,9,1,9
6,6,6,5,36
6,6,89,6,0
53,53,53,2,0
6,6,6,2,6
6,6,6,2,6
6,6,6,31,6
6,6,6,2,6
6,6,6,2,6
6,6,6,2,11
6,6,6,12,11
6,6,6,12,6
6,6,0,17,0
6,6,0,2,0
6,5,2,2,5
5,5,29,2,5
6,6,7,2,7
6,6,6,7,6
6,6,11,12,6
6,6,6,5,35
6,6,6,5,6
6,6,6,53,6
6,7,7,6,7
6,6,6,4,0
6,6,6,6,6
6,6,6,6,6
6,6,2,5,2
1,1,1,4,1
12,12,12,29,12
6,6,2,2,2
12,12,12,17,28
4,4,4,5,0
6,6,2,7,2
6,6,0,7,0
6,7,7,7,7
1,1,1,5,1
1,1,1,6,1
6,6,6,4,6
6,6,6,6,6
6,6,6,5,6
5,5,5,4,5
6,6,6,17,21
6,6,6,2,6
6,6,2,53,2
6,6,2,2,2
6,6,2,2,2
4,1,4,3,4
6,6,14,7,14
6,6,14,1,14
6,6,2,0,2
12,12,12,12,12
12,12,12,2,12
9,4,9,12,9
6,6,0,12,0
6,6,0,12,6
6,6,6,2,11
6,6,2,2,2
6,6,2,29,2
2,6,2,2,2
6,6,6,12,6
6,6,7,7,7
6,6,6,2,6
6,5,6,29,6
12,12,12,12,12
6,6,6,6,6
5,5,5,5,2
5,5,5,5,5
6,6,93,12,0
6,5,70,3,18
6,6,6,4,32
6,6,6,29,6
4,4,4,4,4
6,6,6,29,0
6,6,6,7,6
6,6,6,5,35
6,6,6,6,6
5,5,5,5,5
6,6,6,5,6
4,4,4,2,4
6,5,6,7,6
5,5,2,7,5
6,6,2,7,20
6,6,9,5,9
6,6,6,10,11
6,6,6,2,6
6,5,0,2,6
5,5,5,7,5
6,6,7,7,7
6,6,7,5,24
6,6,7,5,7
5,6,5,5,5
6,6,6,6,6
6,6,21,10,6
6,6,6,28,6
6,6,6,3,6
6,6,6,28,6
6,6,6,7,6
6,6,6,5,6
6,6,6,2,6
6,6,21,7,6
6,5,6,7,6
6,6,2,1,2
4,1,4,28,4
6,6,2,28,2
6,6,6,1,6
6,5,2,1,5
6,6,6,6,6
6,6,6,7,6
6,6,6,2,6
4,4,4,29,22
4,4,1,1,0
6,6,2,1,2
51,53,51,1,0
6,6,3,4,3
6,6,3,7,3
6,6,3,6,3
6,6,7,5,7
6,6,6,29,6
6,6,6,29,6
1,1,1,1,1
4,12,9,2,0
6,6,6,2,6
12,12,12,2,12
2,2,2,28,2
12,12,12,1,12
6,6,6,2,6
6,6,6,7,6
6,5,6,12,6
6,6,6,7,6
6,6,6,1,6
6,6,6,17,6
12,12,12,17,12
12,12,12,28,12
6,6,2,10,2
6,6,2,0,2
5,5,2,5,2
6,6,2,5,2
12,12,96,5,9
6,7,7,12,7
6,6,2,5,2
5,5,2,5,2
12,12,12,53,12
6,6,6,2,6
6,6,6,2,42
6,6,6,4,11
6,6,6,5,6
6,5,6,5,6
6,6,6,12,6
5,5,5,12,5
5,5,5,12,29
12,4,96,2,9
6,6,3,2,3
6,6,6,2,6
4,4,4,53,0
6,6,6,4,6
6,6,6,4,6
6,6,6,1,6
6,6,6,2,6
6,6,6,1,6
5,5,2,1,2
4,1,4,6,4
0,5,0,7,0
6,6,6,6,6
6,6,6,1,6
6,6,7,6,7
6,6,6,6,6
6,6,6,4,6
6,6,6,5,6
5,5,5,4,5
5,6,5,2,5
5,5,5,2,5
5,5,5,2,5
6,6,2,4,2
6,6,7,5,7
6,6,7,5,7
6,6,7,1,7
12,5,46,1,3
6,6,10,4,41
6,6,10,2,3
6,6,2,12,2
6,6,6,2,6
6,6,7,4,7
6,6,7,12,7
5,5,5,5,5
5,6,5,2,5
5,5,5,1,5
5,6,5,1,5
6,6,3,2,3
6,6,28,4,28
6,6,3,4,3
6,6,28,2,28
6,6,7,2,7
6,6,6,2,6
6,6,6,2,6
5,6,5,2,5
2,2,2,5,2
6,6,7,3,7
6,6,7,46,7
1,1,1,1,1
6,6,28,5,28
6,6,28,17,28
1,1,1,5,1
1,1,1,10,1
6,6,37,2,42
6,6,6,6,6
6,6,6,4,6
6,6,7,4,7
2,6,2,2,2
5,5,5,2,5
1,1,1,2,1
1,1,1,10,1
1,1,1,1,1
4,1,4,1,4
6,6,7,4,7
6,6,6,4,0
5,6,5,12,5
29,5,29,5,5
5,5,6,4,5
1,1,1,12,1
6,5,0,15,6
6,6,6,5,6
6,6,6,5,6
6,6,6,2,6
6,6,6,46,6
6,6,2,6,33
6,6,2,6,0
6,6,2,2,2
6,6,28,5,28
1,1,1,6,1
6,6,10,5,10
6,6,6,5,6
6,6,6,12,6
6,6,6,1,6
0,0,0,1,0
6,6,6,1,6
12,12,12,1,12
6,6,7,1,7
6,6,6,28,6
6,6,6,0,6
1,1,1,5,1
4,4,4,12,4
17,6,17,17,0
6,6,28,1,28
6,6,6,17,6
6,6,6,17,6
6,6,10,1,10
6,6,10,4,10
5,6,5,4,5
5,6,5,0,5
5,6,5,17,5
12,12,12,17,12
5,6,5,5,5
5,5,5,2,5
6,6,6,3,6
52,51,51,3,0
2,6,2,12,2
6,6,2,12,2
4,1,4,12,4
6,6,6,53,6
6,6,6,28,6
5,6,5,5,5
5,6,5,6,5
12,12,12,1,12
12,12,12,4,12
12,12,12,5,12
6,5,2,1,5
6,6,3,28,3
6,6,3,4,3
6,6,6,4,6
51,51,51,6,0
4,1,4,6,4
4,1,4,6,4
1,1,1,35,1
6,6,2,35,33
1,1,1,29,1
1,1,1,12,1
6,6,6,31,21
6,6,7,31,7
6,6,6,2,23
1,1,1,5,1
6,6,2,5,33
6,6,65,4,0
4,4,0,6,0
6,6,6,12,6
5,6,5,5,5
4,12,4,4,4
6,6,2,2,2
2,6,2,5,2
2,2,2,5,2
6,6,6,16,6
4,1,4,16,4
5,6,5,4,5
5,5,5,4,5
1,1,1,1,1
4,4,4,4,9
4,1,4,6,4
6,6,2,6,2
4,4,22,12,22
12,12,12,31,12
6,6,6,4,6
6,6,3,17,3
4,4,4,12,4
6,6,6,4,6
12,12,12,2,12
5,6,5,17,5
6,5,6,6,6
6,6,6,5,6
6,6,6,5,6
6,5,6,5,6
6,5,6,6,6
6,6,6,5,6
6,6,6,2,6
6,6,6,2,6
6,6,2,7,5
4,1,4,7,4
1,1,1,4,1
6,6,2,2,33
6,6,6,7,6
4,4,4,6,4
4,1,4,6,4
6,6,2,6,2
6,6,2,2,2
6,6,3,5,3
6,6,2,5,2
6,6,2,10,2
6,6,6,5,6
6,6,6,28,6
5,6,5,28,5
6,6,3,1,3
6,6,3,5,3
1,1,1,5,1
5,5,5,1,5
6,9,17,5,0
6,5,6,0,6
6,6,6,6,6
5,5,5,28,5
6,6,3,6,3
6,6,3,5,3
6,6,6,2,34
6,6,6,0,6
6,6,6,6,6
4,1,4,1,4
4,1,4,28,4
6,6,6,2,6
6,6,10,5,10
6,12,10,2,0
6,12,10,5,0
6,6,3,6,41
6,6,6,12,6
6,6,6,17,6
1,1,1,1,1
1,1,1,4,1
4,1,4,5,4
4,1,4,5,4
6,6,6,5,6
12,12,12,6,12
5,5,5,6,29
6,5,6,6,6
4,1,4,17,4
6,6,6,12,6
12,12,12,5,12
0,0,0,2,0
5,6,5,2,5
5,6,5,6,5
6,6,2,17,2
6,6,3,4,3
6,6,6,1,6
6,6,6,17,0
6,6,6,17,23
6,6,2,6,2
5,6,5,29,5
6,6,6,2,0
5,5,0,4,2
6,6,6,4,6
5,6,5,4,5
12,12,12,12,12
1,1,1,12,1
1,1,1,6,1
1,1,1,10,1
1,1,1,6,1
1,1,1,4,1
6,6,28,1,28
53,53,51,12,0
6,6,6,5,6
5,6,5,5,5
12,12,12,2,12
6,6,9,29,9
1,1,1,5,1
1,17,1,12,0
1,17,1,17,0
4,4,48,17,9
1,1,1,17,1
4,1,4,4,4
4,1,4,4,4
0,30,30,4,0
17,17,17,46,0
17,17,17,46,0
5,6,5,46,5
6,6,6,9,6
6,6,3,4,3
6,6,3,4,3
6,6,3,1,3
6,6,6,31,6
6,6,6,17,6
12,12,12,12,12
12,12,12,2,12
6,6,34,17,6
6,6,6,1,6
6,6,6,26,6
6,6,6,35,6
6,6,6,2,6
0,0,0,12,0
6,6,6,1,6
53,53,53,4,0
6,6,28,5,28
5,6,5,6,5
6,6,6,5,0
1,1,1,28,1
4,1,4,2,4
6,6,34,6,6
5,5,5,4,5
6,6,32,4,6
1,1,1,1,1
6,6,28,1,28
4,1,4,1,4
4,4,4,12,4
6,6,6,12,43
6,6,6,5,43
6,6,6,5,43
53,51,51,6,0
53,51,51,6,0
5,5,2,6,5
12,12,12,2,12
4,1,4,5,4
4,1,4,5,4
6,6,6,19,6
6,6,2,4,2
6,6,6,28,6
6,6,6,28,6
6,5,9,5,9
6,6,6,17,6
5,5,5,5,5
5,5,5,5,5
4,1,4,6,4
6,6,6,12,23
6,6,0,12,6
12,12,12,12,12
5,6,5,1,5
4,1,4,0,4
6,6,43,5,6
6,6,32,1,6
6,6,2,4,14
6,6,6,5,6
6,6,6,2,6
5,6,5,2,5
5,6,5,29,5
53,53,53,29,8
51,51,51,29,8
4,1,4,1,4
4,1,4,17,4
4,1,4,32,4
4,1,4,2,4
6,6,6,5,6
6,6,6,5,0
6,6,6,12,36
12,12,12,1,12
4,1,4,29,4
4,6,4,5,4
12,4,83,2,0
12,12,12,2,12
4,1,4,2,4
6,6,2,2,2
4,4,4,28,4
6,6,6,5,32
6,6,0,5,6
6,6,0,4,6
6,6,32,1,6
5,6,5,1,5
5,5,5,5,5
5,6,5,2,5
6,6,6,12,32
5,6,5,5,5
6,6,14,5,14
6,6,2,12,20
6,6,6,17,6
6,5,6,17,6
6,6,6,17,44
6,6,44,7,44
4,4,4,28,4
6,6,2,3,25
6,6,44,5,44
6,6,6,5,6
6,6,6,6,34
6,6,6,12,34
6,6,6,12,6
6,6,21,28,6
6,6,6,28,36
6,6,10,28,41
6,6,0,28,6
5,5,5,28,5
6,6,6,28,6
6,6,6,10,6
6,6,34,2,6
6,6,34,2,6
6,6,34,28,6
6,6,0,1,6
6,5,0,4,6
5,5,5,4,5
6,6,34,2,6
6,6,10,53,3
5,6,5,1,5
6,6,28,28,28
6,6,28,5,28
1,1,1,5,1
5,6,5,1,5
5,5,5,4,5
6,6,6,9,6
1,1,1,1,1
5,5,5,10,2
6,6,0,2,0
6,6,6,2,34
6,6,28,5,28
6,6,6,5,6
6,5,6,28,6
6,12,6,28,23
6,6,21,4,6
5,5,5,4,5
6,4,2,5,5
6,6,10,0,41
6,6,6,4,34
1,1,1,6,1
6,6,28,28,28
6,6,36,28,21
6,6,10,28,10
5,5,2,5,0
2,6,2,1,0
5,5,5,10,5
6,6,36,17,6
6,6,6,5,6
6,6,6,4,32
6,6,6,28,6
6,6,6,6,21
12,12,12,17,12
6,6,17,6,0
1,1,1,12,1
4,0,4,6,4
6,6,21,5,6
6,5,32,6,6
5,5,5,1,5
5,5,5,1,5
5,5,5,0,2
6,6,6,0,6
6,6,6,6,35
6,6,6,2,35
6,6,6,1,35
6,6,17,4,17
6,5,9,6,9
12,12,12,5,12
6,6,0,12,6
5,5,5,5,5
6,6,2,6,2
6,6,2,6,2
6,6,2,4,2
6,6,0,1,6
6,6,6,2,6
13,45,79,6,45
4,1,4,6,4
1,1,1,4,1
45,45,45,4,45
13,45,45,4,45
79,13,45,1,45
6,6,6,5,0
6,6,34,4,6
6,6,0,2,6
5,5,5,1,5
2,6,2,9,2
6,6,6,1,6
0,0,58,1,45
79,79,45,48,45
13,13,45,4,45
4,1,4,5,4
4,1,4,6,4
4,4,4,5,4
12,12,12,97,12
12,12,12,2,12
6,6,6,6,0
6,6,10,31,10
6,12,6,6,35
6,6,6,5,6
4,1,4,17,4
1,1,1,2,1
12,12,12,17,12
5,6,5,12,5
5,6,5,5,5
6,6,2,5,2
5,5,6,28,5
5,6,5,1,5
6,6,0,5,6
6,6,35,6,6
12,12,12,53,12
13,13,13,51,13
13,13,13,5,13
79,13,13,17,13
79,79,13,2,13
6,6,84,5,0
4,1,4,5,4
4,1,4,7,4
4,1,4,7,4
6,6,35,53,6
6,6,46,35,46
6,6,46,53,46
6,6,46,4,46
4,4,4,53,4
4,4,48,2,1
4,1,4,8,4
4,1,4,53,4
4,1,4,53,4
6,6,17,5,17
12,12,12,8,12
6,6,6,7,6
6,6,14,53,25
5,5,5,53,18
13,13,13,2,0
1,1,1,1,1
12,12,12,53,12
52,51,51,51,0
6,6,2,53,2
12,12,12,6,12
1,1,1,51,1
4,4,4,7,4
6,6,2,53,2
6,6,6,53,6
6,6,6,53,6
6,6,6,4,32
6,6,6,57,6
6,6,6,53,6
5,6,5,53,5
6,6,28,53,28
6,6,0,17,0
6,6,6,51,0
6,6,6,51,6
6,5,23,51,23
4,1,4,4,4
4,1,4,6,4
1,1,1,53,1
1,1,1,53,1
1,1,1,53,1
12,12,12,51,12
12,12,12,12,12
5,6,5,52,5
5,5,5,4,5
6,6,6,1,6
6,6,6,1,6
6,0,6,1,0
6,6,6,1,35
6,6,6,1,35
2,6,2,1,2
5,5,5,1,5
5,5,5,1,5
0,0,0,1,0
4,4,4,1,4
6,6,28,1,28
6,6,28,1,28
5,6,5,1,5
12,12,83,1,0
5,5,5,1,5
5,6,5,51,5
6,6,6,4,35
12,12,12,4,12
12,12,12,53,12
12,12,12,5,12
1,1,1,5,1
4,9,4,53,4
5,5,5,53,29
1,1,1,53,1
4,1,4,53,4
5,5,5,53,5
6,6,2,17,2
6,6,2,1,2
6,5,35,17,6
6,6,6,17,6
6,6,6,53,6
29,29,5,51,29
5,29,29,2,29
5,29,29,2,29
2,1,0,10,19
1,1,1,2,1
6,6,17,5,17
6,6,6,5,6
52,52,51,53,0
6,6,2,2,2
6,6,6,7,6
5,6,5,5,5
5,6,5,8,5
12,12,12,5,12
1,1,1,51,1
5,5,5,5,5
5,5,5,53,5
6,6,6,53,6
6,6,2,6,2
2,6,2,53,2
6,6,0,1,0
6,6,2,53,20
6,6,28,53,28
6,6,6,7,6
6,5,6,53,6
5,5,5,10,5
5,5,5,5,5
6,6,6,5,6
4,1,4,53,4
1,1,1,17,1
1,1,1,17,1
6,6,6,2,6
5,6,5,28,5
6,6,2,32,20
12,12,12,12,12
5,5,5,8,5
6,6,6,3,6
6,6,6,10,6
5,5,2,10,5
12,12,12,4,12
17,6,17,4,17
17,6,17,4,17
17,6,17,53,17
6,6,89,5,0
6,6,28,24,28
0,0,15,1,0
5,5,5,1,5
5,6,5,1,5
6,6,6,12,6
6,6,6,53,6
6,6,6,5,35
6,6,6,2,6
12,12,12,4,12
12,12,12,5,12
6,6,28,10,28
6,6,28,5,28
6,6,28,5,28
6,6,28,17,28
6,6,28,2,28
6,6,28,4,28
6,6,10,28,10
6,6,2,8,25
6,6,0,12,0
6,6,28,4,28
6,6,6,7,6
6,5,6,7,6
1,1,1,8,1
4,6,4,2,4
4,1,4,8,4
6,6,2,2,2
6,6,17,53,17
9,9,9,1,4
6,6,28,5,28
5,5,5,46,5
5,6,5,5,5
6,5,0,5,6
6,6,34,7,6
6,6,35,7,6
6,6,0,1,6
6,6,36,1,6
6,6,0,35,6
6,6,36,53,6
1,1,1,5,1
4,1,4,5,4
6,6,17,4,17
1,1,1,4,1
6,6,0,4,6
6,6,10,4,3
6,6,3,7,3
6,6,2,5,20
5,5,5,53,2
5,6,5,53,5
4,1,47,8,47
4,1,47,4,47
4,4,4,53,4
4,4,4,53,4
5,6,5,53,5
6,6,28,12,28
4,1,4,53,4
6,6,0,53,6
6,6,6,53,0
5,5,5,4,5
5,5,5,4,5
5,5,5,4,5
5,6,5,5,5
1,1,1,53,1
6,6,10,53,10
6,6,84,1,0
5,6,5,4,5
4,4,4,12,0
6,6,28,5,28
6,6,6,2,0
6,6,18,28,0
6,6,6,53,0
6,6,36,53,6
12,12,12,17,12
6,5,9,29,9
6,6,6,28,0
5,5,5,8,5
6,6,6,12,0
1,1,1,57,1
1,1,1,4,1
4,4,9,57,4
6,6,18,6,0
6,6,2,53,2
6,6,2,1,39
6,6,0,4,6
1,1,1,53,1
4,1,4,7,4
6,6,6,17,35
5,5,5,5,5
12,12,12,4,12
5,6,5,1,5
6,6,6,5,0
6,6,6,4,0
6,6,6,17,6
4,1,4,17,4
1,1,1,28,1
6,6,2,32,2
6,6,11,5,6
6,6,6,10,36
6,6,6,5,35
6,6,35,1,6
4,1,4,4,4
4,1,4,5,4
4,1,4,51,4
1,1,1,1,1
6,6,0,1,6
6,5,5,1,3
6,6,0,35,6
6,5,0,1,6
4,4,4,1,4
6,6,2,8,2
1,1,1,51,1
6,6,6,5,21
6,6,35,5,6
0,0,56,51,48
1,1,1,51,1
1,1,1,28,1
3,3,3,28,41
4,4,4,28,4
4,4,4,28,4
5,6,5,28,5
6,6,21,5,6
6,6,6,4,11
6,6,6,53,35
6,6,0,17,6
5,6,5,51,5
6,6,10,51,49
6,4,2,4,5
6,6,2,4,33
4,1,109,12,50
6,6,35,4,6
6,6,6,2,0
5,5,5,53,5
4,4,4,53,4
6,6,2,3,2
4,4,4,17,4
12,12,12,17,12
5,5,5,46,5
5,6,5,6,5
6,1,28,2,28
1,1,1,5,1
5,5,5,0,29
6,6,35,53,6
6,6,6,2,6
6,6,0,12,6
6,6,35,6,6
6,6,35,5,6
6,6,6,10,35
51,51,51,2,0
51,51,8,28,0
5,5,5,4,5
4,9,4,12,4
6,6,2,2,2
5,5,5,51,5
5,6,5,51,5
51,51,51,5,0
6,6,7,4,7
52,51,51,53,51
52,52,52,57,52
53,53,53,53,53
4,6,4,5,4
53,53,51,5,51
6,6,2,51,33
53,53,53,4,53
52,53,52,51,52
53,51,51,6,51
5,6,5,7,5
51,51,51,7,8
6,7,7,57,7
6,6,6,5,36
53,53,53,73,53
6,6,0,6,0
1,1,1,51,1
6,6,2,28,33
51,51,51,2,51
53,53,53,5,53
6,6,6,7,34
53,53,51,2,53
6,7,7,2,7
51,51,51,2,0
53,53,53,12,53
53,53,53,17,51
4,4,4,7,4
57,51,57,7,0
5,5,5,5,29
53,53,53,2,53
53,53,53,1,53
53,53,53,1,53
4,4,4,52,4
51,51,51,7,51
53,53,51,2,51
53,53,53,2,53
4,1,4,1,4
6,6,6,1,0
53,53,53,1,53
53,53,53,0,53
53,53,41,4,0
53,53,53,2,53
12,12,12,5,12
52,52,52,1,52
4,4,4,53,4
1,1,1,12,1
1,1,1,4,1
1,1,1,2,1
